Occupation code,Occupation title ,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
13-1051,Cost Estimators,detail,"211,600",0.8%,1.462,$30.79,$33.52,"$69,710",0.3%
13-1070,Human Resources Workers,broad,"671,140",0.5%,4.637,$29.52,$32.32,"$67,240",0.3%
13-1071,Human Resources Specialists,detail,"593,790",0.5%,4.103,$29.27,$32.11,"$66,790",0.2%
13-1074,Farm Labor Contractors,detail,200,14.9%,0.001,$22.19,$25.45,"$52,930",7.0%
13-1075,Labor Relations Specialists,detail,"77,140",1.8%,0.533,$32.59,$34.01,"$70,730",1.4%
13-1081,Logisticians,detail,"169,820",1.1%,1.173,$35.86,$37.85,"$78,730",0.4%
13-1111,Management Analysts,detail,"684,470",0.8%,4.729,$40.20,$45.38,"$94,390",0.5%
13-1121,"Meeting, Convention, and Event Planners",detail,"110,120",1.7%,0.761,$23.74,$25.83,"$53,730",0.7%
13-1131,Fundraisers,detail,"75,700",1.4%,0.523,$27.38,$29.62,"$61,610",0.8%
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detail,"83,550",1.5%,0.577,$30.29,$32.65,"$67,910",0.5%
13-1151,Training and Development Specialists,detail,"291,380",0.8%,2.013,$29.26,$31.31,"$65,120",0.3%
13-1161,Market Research Analysts and Marketing Specialists,detail,"638,200",1.0%,4.410,$30.35,$34.11,"$70,960",0.4%
13-1199,"Business Operations Specialists, All Other",detail,"1,060,580",0.5%,7.328,$33.91,$37.00,"$76,960",0.3%
13-2000,Financial Specialists,minor,"2,698,660",0.5%,18.646,$34.02,$39.69,"$82,550",0.3%
13-2011,Accountants and Auditors,detail,"1,259,930",0.7%,8.705,$33.89,$37.89,"$78,820",0.3%
13-2021,Appraisers and Assessors of Real Estate,detail,"57,900",2.5%,0.400,$26.43,$29.75,"$61,870",1.3%
13-2031,Budget Analysts,detail,"52,810",1.1%,0.365,$36.65,$38.38,"$79,830",0.6%
13-2041,Credit Analysts,detail,"74,820",1.8%,0.517,$34.38,$39.57,"$82,300",0.9%
13-2050,Financial Analysts and Advisors,broad,"602,500",0.9%,4.163,$39.84,$50.03,"$104,050",0.7%
13-2051,Financial Analysts,detail,"306,200",1.4%,2.116,$41.18,$48.55,"$100,990",0.9%
13-2052,Personal Financial Advisors,detail,"200,260",1.5%,1.384,$42.73,$58.54,"$121,770",1.1%
13-2053,Insurance Underwriters,detail,"96,040",2.6%,0.664,$33.36,$36.96,"$76,880",0.7%
13-2061,Financial Examiners,detail,"58,590",1.9%,0.405,$38.55,$43.42,"$90,310",1.5%
13-2070,Credit Counselors and Loan Officers,broad,"340,690",1.1%,2.354,$29.11,$35.33,"$73,490",0.6%
13-2071,Credit Counselors,detail,"35,740",3.7%,0.247,$21.72,$23.95,"$49,820",1.1%
13-2072,Loan Officers,detail,"304,950",1.2%,2.107,$30.31,$36.67,"$76,270",0.6%
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"122,640",1.6%,0.847,$22.92,$25.45,"$52,930",0.9%
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detail,"54,550",0.3%,0.377,$26.17,$29.09,"$60,500",0.3%
13-2082,Tax Preparers,detail,"68,090",2.9%,0.470,$18.94,$22.53,"$46,860",1.6%
13-2099,"Financial Specialists, All Other",detail,"128,760",1.2%,0.890,$33.79,$37.30,"$77,580",0.7%
15-0000,Computer and Mathematical Occupations,major,"4,384,300",0.5%,30.292,$41.51,$44.01,"$91,530",0.4%
15-1100,Computer Occupations,minor,"4,214,820",0.5%,29.121,$41.50,$43.98,"$91,480",0.4%
15-1111,Computer and Information Research Scientists,detail,"30,070",3.4%,0.208,$56.91,$59.54,"$123,850",1.3%
15-1120,Computer and Information Analysts,broad,"696,030",0.9%,4.809,$43.31,$45.67,"$94,990",0.3%
15-1121,Computer Systems Analysts,detail,"587,970",1.0%,4.062,$42.66,$45.01,"$93,610",0.3%
15-1122,Information Security Analysts,detail,"108,060",2.0%,0.747,$47.28,$49.26,"$102,470",0.5%
15-1130,Software Developers and Programmers,broad,"1,666,270",1.2%,11.513,$48.04,$50.23,"$104,480",0.7%
15-1131,Computer Programmers,detail,"230,470",2.4%,1.592,$40.52,$43.07,"$89,580",1.3%
15-1132,"Software Developers, Applications",detail,"903,160",1.6%,6.240,$49.82,$51.96,"$108,080",0.9%
15-1133,"Software Developers, Systems Software",detail,"405,330",1.3%,2.801,$52.89,$54.81,"$114,000",0.5%
15-1134,Web Developers,detail,"127,300",1.4%,0.880,$33.38,$36.34,"$75,580",0.7%
15-1140,Database and Systems Administrators and Network Architects,broad,"629,020",0.7%,4.346,$42.79,$45.09,"$93,780",0.2%
15-1141,Database Administrators,detail,"110,090",1.0%,0.761,$43.31,$44.25,"$92,030",0.3%
15-1142,Network and Computer Systems Administrators,detail,"366,250",0.8%,2.531,$39.45,$41.86,"$87,070",0.3%
15-1143,Computer Network Architects,detail,"152,670",1.6%,1.055,$52.41,$53.43,"$111,130",0.6%
15-1150,Computer Support Specialists,broad,"812,060",0.8%,5.611,$25.70,$27.86,"$57,950",0.3%
15-1151,Computer User Support Specialists,detail,"630,700",0.8%,4.358,$24.51,$26.46,"$55,050",0.4%
15-1152,Computer Network Support Specialists,detail,"181,360",1.4%,1.253,$30.18,$32.72,"$68,050",0.5%
15-1199,"Computer Occupations, All Other",detail,"381,380",0.9%,2.635,$43.40,$44.88,"$93,350",0.4%
15-2000,Mathematical Science Occupations,minor,"169,480",1.5%,1.171,$41.68,$44.63,"$92,830",0.4%
15-2011,Actuaries,detail,"20,760",4.4%,0.143,$49.46,$55.89,"$116,250",1.2%
15-2021,Mathematicians,detail,"2,580",5.6%,0.018,$48.99,$50.42,"$104,870",1.7%
15-2031,Operations Research Analysts,detail,"104,200",1.8%,0.720,$40.09,$42.48,"$88,350",0.5%
15-2041,Statisticians,detail,"39,920",2.0%,0.276,$42.20,$44.52,"$92,600",0.7%
15-2090,Miscellaneous Mathematical Science Occupations,broad,"2,010",6.0%,0.014,$27.50,$34.80,"$72,390",3.2%
17-0000,Architecture and Engineering Occupations,major,"2,556,220",0.5%,17.662,$38.55,$42.01,"$87,370",0.3%
17-1000,"Architects, Surveyors, and Cartographers",minor,"179,380",1.1%,1.239,$35.20,$38.61,"$80,300",0.7%
17-1010,"Architects, Except Naval",broad,"123,020",1.5%,0.850,$37.37,$41.58,"$86,480",0.9%
17-1011,"Architects, Except Landscape and Naval",detail,"104,360",1.7%,0.721,$38.16,$42.72,"$88,860",1.0%
17-1012,Landscape Architects,detail,"18,660",4.9%,0.129,$32.80,$35.17,"$73,160",1.3%
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"56,360",1.6%,0.389,$30.27,$32.12,"$66,810",0.5%
17-1021,Cartographers and Photogrammetrists,detail,"11,050",2.5%,0.076,$30.98,$32.86,"$68,340",0.8%
17-1022,Surveyors,detail,"45,310",1.9%,0.313,$30.09,$31.94,"$66,440",0.6%
17-2000,Engineers,minor,"1,700,880",0.6%,11.752,$44.75,$47.71,"$99,230",0.3%
17-2011,Aerospace Engineers,detail,"63,960",3.4%,0.442,$55.39,$56.30,"$117,100",0.7%
17-2021,Agricultural Engineers,detail,"1,630",7.8%,0.011,$37.07,$38.03,"$79,090",1.3%
17-2031,Biomedical Engineers,detail,"18,970",4.9%,0.131,$42.57,$45.72,"$95,090",1.2%
17-2041,Chemical Engineers,detail,"32,060",2.9%,0.221,$50.44,$55.03,"$114,470",1.5%
17-2051,Civil Engineers,detail,"306,030",1.0%,2.114,$41.65,$45.06,"$93,720",0.4%
17-2061,Computer Hardware Engineers,detail,"60,750",3.0%,0.420,$55.10,$56.66,"$117,840",1.1%
17-2070,Electrical and Electronics Engineers,broad,"320,610",1.3%,2.215,$47.63,$50.12,"$104,250",0.4%
17-2071,Electrical Engineers,detail,"186,490",1.3%,1.289,$46.46,$48.85,"$101,600",0.4%
17-2072,"Electronics Engineers, Except Computer",detail,"134,110",2.5%,0.927,$49.37,$51.89,"$107,930",0.8%
17-2081,Environmental Engineers,detail,"53,070",1.8%,0.367,$42.13,$44.54,"$92,640",0.7%
17-2110,"Industrial Engineers, Including Health and Safety",broad,"305,780",1.2%,2.113,$41.92,$44.14,"$91,800",0.3%
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detail,"26,230",1.9%,0.181,$42.85,$45.01,"$93,630",0.7%
17-2112,Industrial Engineers,detail,"279,550",1.3%,1.932,$41.84,$44.05,"$91,630",0.4%
17-2121,Marine Engineers and Naval Architects,detail,"11,350",6.4%,0.078,$44.50,$47.58,"$98,970",1.5%
17-2131,Materials Engineers,detail,"26,930",2.7%,0.186,$44.42,$46.60,"$96,930",0.7%
17-2141,Mechanical Engineers,detail,"303,440",1.4%,2.097,$42.00,$44.62,"$92,800",0.3%
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detail,"5,780",5.5%,0.040,$44.35,$47.32,"$98,420",2.0%
17-2161,Nuclear Engineers,detail,"15,980",4.3%,0.110,$51.73,$53.26,"$110,790",1.3%
17-2171,Petroleum Engineers,detail,"32,510",4.1%,0.225,$65.95,$75.18,"$156,370",2.3%
17-2199,"Engineers, All Other",detail,"142,030",1.5%,0.981,$46.62,$47.80,"$99,410",0.8%
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,"675,960",0.6%,4.670,$27.32,$28.56,"$59,410",0.2%
17-3010,Drafters,broad,"193,260",1.0%,1.335,$26.71,$27.97,"$58,180",0.4%
17-3011,Architectural and Civil Drafters,detail,"97,610",1.6%,0.674,$26.40,$27.26,"$56,700",0.4%
17-3012,Electrical and Electronics Drafters,detail,"24,900",3.0%,0.172,$28.88,$30.96,"$64,400",1.1%
17-3013,Mechanical Drafters,detail,"56,170",1.6%,0.388,$26.89,$28.37,"$59,010",0.7%
17-3019,"Drafters, All Other",detail,"14,580",3.3%,0.101,$24.93,$26.08,"$54,240",0.8%
17-3020,"Engineering Technicians, Except Drafters",broad,"430,400",0.8%,2.974,$28.37,$29.51,"$61,380",0.3%
17-3021,Aerospace Engineering and Operations Technicians,detail,"10,110",5.5%,0.070,$32.22,$33.16,"$68,970",1.5%
17-3022,Civil Engineering Technicians,detail,"71,150",1.4%,0.492,$25.28,$26.29,"$54,670",0.5%
17-3023,Electrical and Electronics Engineering Technicians,detail,"126,950",1.6%,0.877,$30.93,$31.27,"$65,050",0.4%
17-3024,Electro-Mechanical Technicians,detail,"13,520",4.2%,0.093,$27.78,$28.96,"$60,240",1.0%
17-3025,Environmental Engineering Technicians,detail,"17,310",3.9%,0.120,$24.31,$26.34,"$54,800",1.1%
17-3026,Industrial Engineering Technicians,detail,"66,540",2.6%,0.460,$26.66,$28.30,"$58,860",0.9%
17-3027,Mechanical Engineering Technicians,detail,"41,460",2.0%,0.286,$27.04,$28.00,"$58,240",0.6%
17-3029,"Engineering Technicians, Except Drafters, All Other",detail,"83,360",1.5%,0.576,$30.38,$31.60,"$65,720",0.5%
17-3031,Surveying and Mapping Technicians,detail,"52,300",2.1%,0.361,$21.34,$22.93,"$47,690",0.6%
19-0000,"Life, Physical, and Social Science Occupations",major,"1,171,910",0.7%,8.097,$31.77,$36.62,"$76,160",0.4%
19-1000,Life Scientists,minor,"304,750",1.5%,2.106,$36.47,$41.56,"$86,450",0.9%
19-1010,Agricultural and Food Scientists,broad,"30,880",3.6%,0.213,$30.78,$34.24,"$71,230",1.0%
19-1011,Animal Scientists,detail,"2,530",6.2%,0.018,$28.07,$32.54,"$67,690",2.7%
19-1012,Food Scientists and Technologists,detail,"13,330",5.9%,0.092,$31.39,$34.89,"$72,570",1.3%
19-1013,Soil and Plant Scientists,detail,"15,010",4.7%,0.104,$30.74,$33.96,"$70,630",1.5%
19-1020,Biological Scientists,broad,"109,040",2.2%,0.753,$37.29,$41.54,"$86,390",1.6%
19-1021,Biochemists and Biophysicists,detail,"28,500",4.9%,0.197,$44.85,$50.93,"$105,940",4.4%
19-1022,Microbiologists,detail,"20,030",6.7%,0.138,$34.45,$39.02,"$81,150",2.6%
19-1023,Zoologists and Wildlife Biologists,detail,"17,860",2.3%,0.123,$30.49,$32.58,"$67,760",0.6%
19-1029,"Biological Scientists, All Other",detail,"42,640",2.6%,0.295,$38.27,$40.19,"$83,600",1.3%
19-1030,Conservation Scientists and Foresters,broad,"30,600",1.4%,0.211,$29.49,$31.12,"$64,720",0.6%
19-1031,Conservation Scientists,detail,"22,200",1.7%,0.153,$29.48,$31.40,"$65,320",0.7%
19-1032,Foresters,detail,"8,410",2.2%,0.058,$29.53,$30.36,"$63,150",0.5%
19-1040,Medical Scientists,broad,"127,380",2.7%,0.880,$40.16,$45.80,"$95,270",1.2%
19-1041,Epidemiologists,detail,"7,060",1.9%,0.049,$33.49,$36.39,"$75,690",1.0%
19-1042,"Medical Scientists, Except Epidemiologists",detail,"120,320",2.9%,0.831,$40.77,$46.36,"$96,420",1.3%
19-1099,"Life Scientists, All Other",detail,"6,850",5.1%,0.047,$37.59,$42.86,"$89,150",3.3%
19-2000,Physical Scientists,minor,"254,790",1.2%,1.760,$38.89,$43.49,"$90,470",0.8%
19-2010,Astronomers and Physicists,broad,"19,770",4.4%,0.137,$57.49,$59.48,"$123,730",1.5%
19-2011,Astronomers,detail,"2,160",11.4%,0.015,$50.81,$53.41,"$111,090",2.3%
19-2012,Physicists,detail,"17,620",4.8%,0.122,$58.15,$60.23,"$125,280",1.6%
19-2021,Atmospheric and Space Scientists,detail,"9,310",3.9%,0.064,$45.25,$45.95,"$95,580",1.2%
19-2030,Chemists and Materials Scientists,broad,"92,300",2.3%,0.638,$37.66,$41.06,"$85,400",0.9%
19-2031,Chemists,detail,"84,560",2.5%,0.584,$36.97,$40.31,"$83,850",1.0%
19-2032,Materials Scientists,detail,"7,730",5.2%,0.053,$47.98,$49.25,"$102,450",1.6%
19-2040,Environmental Scientists and Geoscientists,broad,"116,020",1.3%,0.802,$36.34,$41.10,"$85,480",0.8%
19-2041,"Environmental Scientists and Specialists, Including Health",detail,"80,480",1.3%,0.556,$34.20,$37.30,"$77,580",0.8%
19-2042,"Geoscientists, Except Hydrologists and Geographers",detail,"29,260",3.4%,0.202,$43.81,$51.83,"$107,800",1.7%
19-2043,Hydrologists,detail,"6,290",3.4%,0.043,$38.16,$39.81,"$82,790",1.1%
19-2099,"Physical Scientists, All Other",detail,"17,380",2.6%,0.120,$51.55,$52.93,"$110,090",1.4%
19-3000,Social Scientists and Related Workers,minor,"247,290",1.0%,1.709,$37.81,$41.30,"$85,900",0.5%
19-3011,Economists,detail,"18,650",3.5%,0.129,$50.16,$55.78,"$116,020",1.7%
19-3022,Survey Researchers,detail,"11,690",5.5%,0.081,$27.74,$30.40,"$63,240",2.2%
19-3030,Psychologists,broad,"124,750",1.4%,0.862,$37.99,$41.63,"$86,600",0.9%
19-3031,"Clinical, Counseling, and School Psychologists",detail,"110,490",1.4%,0.763,$37.01,$41.03,"$85,340",1.0%
19-3032,Industrial-Organizational Psychologists,detail,780,11.6%,0.005,$46.76,$52.42,"$109,030",5.8%
19-3039,"Psychologists, All Other",detail,"13,480",4.6%,0.093,$48.45,$45.97,"$95,610",2.3%
19-3041,Sociologists,detail,"2,710",6.2%,0.019,$39.45,$43.41,"$90,290",2.1%
19-3051,Urban and Regional Planners,detail,"37,840",1.6%,0.261,$35.12,$36.65,"$76,240",0.5%
19-3090,Miscellaneous Social Scientists and Related Workers,broad,"51,640",2.2%,0.357,$38.68,$41.02,"$85,320",1.8%
19-3091,Anthropologists and Archeologists,detail,"6,020",4.3%,0.042,$30.01,$31.40,"$65,310",1.1%
19-3092,Geographers,detail,"1,390",3.1%,0.010,$38.60,$38.72,"$80,530",1.1%
19-3093,Historians,detail,"3,040",4.8%,0.021,$29.40,$31.91,"$66,380",2.4%
19-3094,Political Scientists,detail,"5,660",6.6%,0.039,$56.52,$55.43,"$115,300",3.1%
19-3099,"Social Scientists and Related Workers, All Other",detail,"35,530",2.9%,0.245,$39.11,$41.22,"$85,750",1.0%
19-4000,"Life, Physical, and Social Science Technicians",minor,"365,080",1.1%,2.522,$22.47,$24.52,"$50,990",0.4%
19-4011,Agricultural and Food Science Technicians,detail,"21,290",2.7%,0.147,$19.65,$21.24,"$44,170",1.3%
19-4021,Biological Technicians,detail,"77,450",2.8%,0.535,$21.39,$23.10,"$48,060",0.6%
19-4031,Chemical Technicians,detail,"65,500",1.9%,0.453,$23.15,$24.84,"$51,670",0.6%
19-4041,Geological and Petroleum Technicians,detail,"15,060",4.4%,0.104,$25.62,$30.23,"$62,890",2.6%
19-4051,Nuclear Technicians,detail,"7,230",6.7%,0.050,$38.05,$38.45,"$79,970",1.8%
19-4061,Social Science Research Assistants,detail,"34,550",5.7%,0.239,$22.42,$24.24,"$50,420",1.6%
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,"144,010",1.1%,0.995,$22.54,$24.38,"$50,720",0.4%
19-4091,"Environmental Science and Protection Technicians, Including Health",detail,"32,600",2.5%,0.225,$22.20,$24.21,"$50,350",0.9%
19-4092,Forensic Science Technicians,detail,"15,970",1.7%,0.110,$27.99,$30.05,"$62,490",0.8%
19-4093,Forest and Conservation Technicians,detail,"30,220",0.8%,0.209,$17.88,$19.28,"$40,110",0.3%
19-4099,"Life, Physical, and Social Science Technicians, All Other",detail,"65,220",2.1%,0.451,$23.88,$25.45,"$52,940",0.7%
21-0000,Community and Social Service Occupations,major,"2,171,820",0.4%,15.006,$21.62,$23.69,"$49,280",0.3%
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,"2,090,700",0.4%,14.445,$21.62,$23.69,"$49,270",0.5%
21-1010,Counselors,broad,"735,100",0.6%,5.079,$22.98,$24.96,"$51,920",0.4%
21-1012,"Educational, Guidance, School, and Vocational Counselors",detail,"285,460",0.9%,1.972,$27.07,$28.93,"$60,160",0.6%
21-1013,Marriage and Family Therapists,detail,"48,520",3.7%,0.335,$24.08,$26.03,"$54,150",1.2%
21-1015,Rehabilitation Counselors,detail,"106,860",1.8%,0.738,$17.13,$19.20,"$39,930",0.8%
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detail,"267,730",1.1%,1.850,$21.46,$23.04,"$47,920",0.5%
21-1019,"Counselors, All Other",detail,"26,530",3.2%,0.183,$20.26,$22.95,"$47,740",1.5%
21-1020,Social Workers,broad,"662,550",0.6%,4.578,$23.79,$25.51,"$53,060",0.6%
21-1021,"Child, Family, and School Social Workers",detail,"320,170",0.8%,2.212,$22.24,$23.92,"$49,760",1.0%
21-1022,Healthcare Social Workers,detail,"168,190",1.5%,1.162,$27.02,$28.11,"$58,470",0.7%
21-1023,Mental Health and Substance Abuse Social Workers,detail,"116,750",1.6%,0.807,$21.56,$23.86,"$49,630",0.8%
21-1029,"Social Workers, All Other",detail,"57,440",1.3%,0.397,$30.35,$30.12,"$62,660",0.7%
21-1090,Miscellaneous Community and Social Service Specialists,broad,"693,040",0.8%,4.788,$18.35,$20.59,"$42,820",0.6%
21-1091,Health Educators,detail,"58,780",1.6%,0.406,$26.07,$28.68,"$59,660",0.6%
21-1092,Probation Officers and Correctional Treatment Specialists,detail,"87,660",0.7%,0.606,$25.49,$28.27,"$58,790",0.9%
21-1093,Social and Human Service Assistants,detail,"392,300",1.2%,2.711,$16.22,$17.22,"$35,830",0.4%
21-1094,Community Health Workers,detail,"56,130",1.9%,0.388,$19.01,$20.90,"$43,480",0.7%
21-1099,"Community and Social Service Specialists, All Other",detail,"98,170",1.4%,0.678,$20.49,$22.14,"$46,050",0.9%
21-2000,Religious Workers,minor,"81,120",1.5%,0.560,$21.62,$23.94,"$49,790",0.9%
21-2011,Clergy,detail,"50,960",1.7%,0.352,$23.55,$25.62,"$53,290",0.9%
21-2021,"Directors, Religious Activities and Education",detail,"21,700",3.2%,0.150,$19.62,$22.59,"$46,980",1.6%
21-2099,"Religious Workers, All Other",detail,"8,460",5.4%,0.058,$14.33,$17.24,"$35,860",3.7%
23-0000,Legal Occupations,major,"1,127,900",0.4%,7.793,$38.85,$52.25,"$108,690",0.6%
23-1000,"Lawyers, Judges, and Related Workers",minor,"708,140",0.6%,4.893,$56.68,$67.23,"$139,850",0.6%
23-1010,Lawyers and Judicial Law Clerks,broad,"659,090",0.6%,4.554,$57.00,$68.33,"$142,130",0.7%
23-1011,Lawyers,detail,"642,750",0.6%,4.441,$58.13,$69.34,"$144,230",0.7%
23-1012,Judicial Law Clerks,detail,"16,350",1.8%,0.113,$25.74,$28.63,"$59,540",2.3%
23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,"49,040",0.7%,0.339,$52.05,$52.49,"$109,170",0.8%
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detail,"14,280",0.5%,0.099,$48.00,$48.66,"$101,210",0.5%
23-1022,"Arbitrators, Mediators, and Conciliators",detail,"6,240",5.0%,0.043,$29.94,$34.98,"$72,760",2.3%
23-1023,"Judges, Magistrate Judges, and Magistrates",detail,"28,520",0.5%,0.197,$64.39,$58.23,"$121,130",0.6%
23-2000,Legal Support Workers,minor,"419,770",0.9%,2.900,$24.72,$26.98,"$56,130",0.4%
23-2011,Paralegals and Legal Assistants,detail,"309,940",1.1%,2.141,$24.49,$26.20,"$54,500",0.5%
23-2090,Miscellaneous Legal Support Workers,broad,"109,820",2.0%,0.759,$25.40,$29.19,"$60,710",0.7%
23-2091,Court Reporters,detail,"14,490",4.2%,0.100,$27.48,$30.00,"$62,390",1.9%
23-2093,"Title Examiners, Abstractors, and Searchers",detail,"52,180",3.6%,0.361,$22.66,$24.70,"$51,380",1.1%
23-2099,"Legal Support Workers, All Other",detail,"43,150",2.2%,0.298,$28.33,$34.34,"$71,420",1.0%
25-0000,"Education, Training, and Library Occupations",major,"8,779,780",0.4%,60.662,$23.89,$27.22,"$56,620",0.5%
25-1000,Postsecondary Teachers,minor,"1,517,100",1.0%,10.482,(4),(4),"$85,190",0.9%
25-1011,"Business Teachers, Postsecondary",detail,"84,230",1.5%,0.582,(4),(4),"$103,330",1.3%
